FQDN,IP,DNS_time_ms,HTTP_handshake_time_ms
screenrant.com,34.202.200.131,0.90,1080.51
cnn.com,151.101.65.67,4.13,38.59
dailymail.co.uk,23.210.76.152,3.69,10.85
healthline.com,52.84.45.64,5.48,238.58
slideshare.net,107.23.225.250,0.43,1288.27
businessinsider.com,151.101.65.171,4.07,45.44
dailymotion.com,195.8.215.136,3.37,614.08
usatoday.com,199.232.106.62,0.96,40.95
yellowpages.com,151.138.15.18,45.30,1405.33
stackexchange.com,151.101.193.69,1.38,79.44
collinsdictionary.com,172.67.19.203,1.10,69.35
webmd.com,207.231.204.56,0.44,520.52
merriam-webster.com,13.33.146.45,1.92,11.96
cnet.com,34.149.196.126,0.70,244.39
thefreedictionary.com,194.156.79.248,0.90,457.50
washingtonpost.com,13.33.146.80,1.03,10.19
alamy.com,31.221.62.226,5.76,2293.74
vymaps.com,3.6.118.31,3.46,69.29
alibaba.com,47.246.137.166,1.10,480.56
tumblr.com,74.114.154.21,0.91,582.96
bbc.com,151.101.0.81,1.22,83.41
tiktok.com,202.83.21.14,3.56,26.46
indiatimes.com,118.214.39.26,0.92,11.39
goodreads.com,54.239.26.220,1.08,1809.53
spotify.com,35.186.224.25,0.35,127.43
aliexpress.com,47.254.177.101,0.90,1313.56
wikihow.com,151.101.194.137,0.52,31.82
sciencedirect.com,162.159.129.81,1.02,17.47
soundcloud.com,13.33.146.18,1.09,11.81
cambridge.org,104.16.56.52,1.09,70.14
cnn.com,151.101.1.67,1.26,46.07
healthline.com,52.84.45.107,1.07,342.19
dailymail.co.uk,23.210.76.152,0.85,10.64
shutterstock.com,99.83.219.164,1.56,1087.08
theguardian.com,151.101.193.111,1.99,39.93
medium.com,162.159.152.4,1.18,16.45
usnews.com,23.35.83.223,0.69,10.45
jstor.org,151.101.0.152,1.07,58.07
homedepot.com,35.201.95.83,1.36,3292.36
researchgate.net,104.17.32.105,3.33,13.92
britannica.com,54.254.179.144,4.66,270.08
reverso.net,54.36.69.215,147.35,1264.57
alamy.com,31.221.62.226,0.91,2423.38
forbes.com,151.101.194.49,0.39,31.31
foursquare.com,151.101.130.132,0.97,53.86
microsoft.com,20.53.203.50,0.57,337.51
target.com,151.101.66.187,1.13,38.03
mapquest.com,3.227.109.197,2.01,1373.28
tripadvisor.com,151.101.66.28,2.02,3435.60
fandom.com,151.101.64.194,1.09,51.18
quora.com,54.167.163.108,1.27,1318.29
ebay.com,64.4.253.77,1.56,1071.84
wordpress.com,192.0.78.17,2.13,62.31
jstor.org,151.101.0.152,0.97,40.26
yahoo.com,98.137.11.163,1.10,502.04
apple.com,17.253.144.10,0.81,80.56
etsy.com,151.101.193.224,1.06,34.48
yelp.com,199.232.104.116,5.11,78.76
yelp.com,199.232.104.116,0.81,38.63
nytimes.com,151.101.65.164,1.03,47.65
tumblr.com,74.114.154.21,1.10,508.79
walmart.com,161.170.232.170,24.26,512.87
nih.gov,54.235.145.223,3.51,525.33
imdb.com,52.94.225.248,1.19,1343.22
indeed.com,169.44.165.64,0.92,1256.34
